City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Year,Month,Day,Season
Ahmedabad,2015-01-01,67.45058,118.127106,0.92,18.22,17.15,23.483477,0.92,27.64,133.36,0.0,0.02,0.0,166.46358,Moderate,2015,1,1,Winter
Ahmedabad,2015-01-02,67.45058,118.127106,0.97,15.69,16.46,23.483477,0.97,24.55,34.06,3.68,5.5,3.77,166.46358,Moderate,2015,1,2,Winter
Ahmedabad,2015-01-03,67.45058,118.127106,17.4,19.3,29.7,23.483477,17.4,29.07,30.7,6.8,16.4,2.25,166.46358,Moderate,2015,1,3,Winter
Ahmedabad,2015-01-04,67.45058,118.127106,1.7,18.48,17.97,23.483477,1.7,18.59,36.08,4.43,10.14,1.0,166.46358,Moderate,2015,1,4,Winter
Ahmedabad,2015-01-05,67.45058,118.127106,22.1,21.42,37.76,23.483477,22.1,39.33,39.31,7.01,18.89,2.78,166.46358,Moderate,2015,1,5,Winter
Ahmedabad,2015-01-06,67.45058,118.127106,45.41,38.48,81.5,23.483477,45.41,45.76,46.51,5.42,10.83,1.93,166.46358,Moderate,2015,1,6,Winter
Ahmedabad,2015-01-07,67.45058,118.127106,112.16,40.62,130.77,23.483477,112.16,32.28,33.47,0.0,0.0,0.0,166.46358,Moderate,2015,1,7,Winter
Ahmedabad,2015-01-08,67.45058,118.127106,80.87,36.74,96.75,23.483477,80.87,38.54,31.89,0.0,0.0,0.0,166.46358,Moderate,2015,1,8,Winter
Ahmedabad,2015-01-09,67.45058,118.127106,29.16,31.0,48.0,23.483477,29.16,58.68,25.75,0.0,0.0,0.0,166.46358,Moderate,2015,1,9,Winter
Ahmedabad,2015-01-10,67.45058,118.127106,17.57473,7.04,0.0,23.483477,2.248598,8.29,4.55,0.0,0.0,0.0,166.46358,Moderate,2015,1,10,Winter
Ahmedabad,2015-01-11,67.45058,118.127106,132.07,55.8,24.53,23.483477,132.07,25.03,6.79,0.0,0.0,0.0,166.46358,Moderate,2015,1,11,Winter
Ahmedabad,2015-01-12,67.45058,118.127106,52.04,40.67,90.24,23.483477,52.04,51.84,45.89,2.41,0.03,7.88,166.46358,Moderate,2015,1,12,Winter
Ahmedabad,2015-01-13,67.45058,118.127106,48.82,44.2,87.09,23.483477,48.82,68.21,35.16,9.45,13.35,12.5,166.46358,Moderate,2015,1,13,Winter
Ahmedabad,2015-01-14,67.45058,118.127106,19.2,27.86,33.05,23.483477,19.2,52.65,20.96,2.16,2.26,5.19,166.46358,Moderate,2015,1,14,Winter
Ahmedabad,2015-01-15,67.45058,118.127106,0.6,16.96,16.6,23.483477,0.6,28.89,47.63,0.14,0.04,1.35,166.46358,Moderate,2015,1,15,Winter
Ahmedabad,2015-01-16,67.45058,118.127106,1.63,21.72,22.86,23.483477,1.63,38.27,46.03,0.35,0.05,2.01,166.46358,Moderate,2015,1,16,Winter
Ahmedabad,2015-01-17,67.45058,118.127106,11.44,24.73,34.75,23.483477,11.44,49.5,52.24,0.68,0.0,3.27,166.46358,Moderate,2015,1,17,Winter
Ahmedabad,2015-01-18,67.45058,118.127106,6.1,25.77,29.57,23.483477,6.1,48.43,53.49,0.74,0.21,2.75,166.46358,Moderate,2015,1,18,Winter
Ahmedabad,2015-01-19,67.45058,118.127106,2.51,26.88,27.45,23.483477,2.51,50.03,49.48,0.26,0.02,2.8,166.46358,Moderate,2015,1,19,Winter
Ahmedabad,2015-01-20,67.45058,118.127106,7.92,26.8,32.4,23.483477,7.92,58.87,56.37,0.24,0.01,3.97,166.46358,Moderate,2015,1,20,Winter
Ahmedabad,2015-01-21,67.45058,118.127106,9.52,33.56,39.28,23.483477,9.52,106.93,48.75,0.33,0.0,5.65,166.46358,Moderate,2015,1,21,Winter
Ahmedabad,2015-01-22,67.45058,118.127106,9.05,17.51,22.33,23.483477,9.05,23.71,42.22,0.0,0.0,4.51,166.46358,Moderate,2015,1,22,Winter
Ahmedabad,2015-01-23,67.45058,118.127106,22.53,27.96,47.79,23.483477,22.53,39.19,32.92,0.39,0.0,5.95,166.46358,Moderate,2015,1,23,Winter
Ahmedabad,2015-01-24,67.45058,118.127106,2.03,20.39,21.4,23.483477,2.03,40.07,32.49,0.47,0.7,1.54,166.46358,Moderate,2015,1,24,Winter
Ahmedabad,2015-01-25,67.45058,118.127106,1.42,20.43,20.19,23.483477,1.42,58.41,39.26,0.01,0.0,0.94,166.46358,Moderate,2015,1,25,Winter
Ahmedabad,2015-01-26,67.45058,118.127106,2.27,21.16,21.81,23.483477,2.27,43.73,39.83,0.06,0.0,1.55,166.46358,Moderate,2015,1,26,Winter
Ahmedabad,2015-01-27,67.45058,118.127106,2.19,21.7,23.26,23.483477,2.19,43.28,41.1,0.02,0.0,1.65,166.46358,Moderate,2015,1,27,Winter
Ahmedabad,2015-01-28,73.24,118.127106,5.72,21.11,25.84,23.483477,5.72,36.52,62.42,0.03,0.01,1.41,166.46358,Moderate,2015,1,28,Winter
Ahmedabad,2015-01-29,83.13,118.127106,6.93,28.71,33.72,23.483477,6.93,49.52,59.76,0.02,0.0,3.14,209.0,Poor,2015,1,29,Winter
Ahmedabad,2015-02-04,80.65,118.127106,2.37,22.83,24.0,23.483477,2.37,25.73,47.3,0.0,0.0,0.0,294.0,Poor,2015,2,4,Winter
Ahmedabad,2015-02-05,58.36,118.127106,2.6,21.39,23.31,23.483477,2.6,32.66,53.54,0.0,0.0,0.0,149.0,Moderate,2015,2,5,Winter
Ahmedabad,2015-02-06,79.29,118.127106,1.16,26.94,26.83,23.483477,1.16,67.41,59.3,0.0,0.0,0.0,190.0,Moderate,2015,2,6,Winter
Ahmedabad,2015-02-07,88.7,118.127106,7.29,31.32,37.73,23.483477,7.29,80.09,44.76,0.0,0.0,0.0,247.0,Poor,2015,2,7,Winter
Ahmedabad,2015-02-10,105.39,118.127106,1.41,18.21,18.75,23.483477,1.41,35.91,56.15,0.0,0.0,3.31,256.0,Poor,2015,2,10,Winter
Ahmedabad,2015-02-12,65.04,118.127106,14.19,30.1,44.21,23.483477,14.19,65.91,31.88,7.72,17.46,2.51,288.0,Poor,2015,2,12,Winter
Ahmedabad,2015-02-25,52.99,118.127106,2.23,10.45,10.39,23.483477,2.23,32.76,67.25,3.85,11.39,0.81,292.0,Poor,2015,2,25,Winter
Ahmedabad,2015-02-26,67.45058,118.127106,17.57473,28.56066,32.309124,23.483477,2.248598,14.531978,34.491432,3.2808404,8.700972,3.0701277,166.46358,Moderate,2015,2,26,Winter
Ahmedabad,2015-02-27,67.45058,118.127106,17.57473,28.56066,32.309124,23.483477,2.248598,14.531978,34.491432,3.2808404,8.700972,3.0701277,166.46358,Moderate,2015,2,27,Winter
Ahmedabad,2015-02-28,67.45058,118.127106,17.57473,28.56066,32.309124,23.483477,2.248598,14.531978,34.491432,3.2808404,8.700972,3.0701277,166.46358,Moderate,2015,2,28,Winter
Ahmedabad,2015-03-01,61.12,118.127106,3.58,16.81,20.92,23.483477,3.58,28.44,30.48,2.69,1.58,1.32,166.46358,Moderate,2015,3,1,Spring
Ahmedabad,2015-03-02,60.78,118.127106,9.07,18.21,27.34,23.483477,9.07,29.48,34.75,2.05,0.55,0.22,189.0,Moderate,2015,3,2,Spring
Ahmedabad,2015-03-06,67.45058,118.127106,17.57473,28.56066,32.309124,23.483477,2.248598,14.531978,34.491432,3.2808404,8.700972,3.0701277,166.46358,Moderate,2015,3,6,Spring
Ahmedabad,2015-03-07,105.45,118.127106,2.5,16.1,18.66,23.483477,2.5,29.29,69.9,17.77,5.75,0.39,166.46358,Moderate,2015,3,7,Spring
Ahmedabad,2015-03-08,71.56,118.127106,3.51,16.83,20.32,23.483477,3.51,30.28,57.16,3.95,8.01,0.63,190.0,Moderate,2015,3,8,Spring
Ahmedabad,2015-03-09,119.8,118.127106,4.13,24.07,27.9,23.483477,4.13,50.35,50.49,4.85,12.15,1.35,233.0,Poor,2015,3,9,Spring
Ahmedabad,2015-03-10,106.71,118.127106,5.39,25.59,30.51,23.483477,5.39,38.85,60.17,5.58,14.17,1.74,297.0,Poor,2015,3,10,Spring
Ahmedabad,2015-03-12,106.01,118.127106,4.28,27.31,30.54,23.483477,4.28,70.29,40.91,9.45,15.54,1.71,252.0,Poor,2015,3,12,Spring
Ahmedabad,2015-03-13,97.34,118.127106,3.67,21.58,24.62,23.483477,3.67,64.39,45.69,5.61,15.02,2.25,244.0,Poor,2015,3,13,Spring
Ahmedabad,2015-03-14,83.92,118.127106,6.42,25.03,30.8,23.483477,6.42,67.53,34.94,8.24,21.47,3.09,234.0,Poor,2015,3,14,Spring
Ahmedabad,2015-03-15,49.51,118.127106,3.1,14.16,16.15,23.483477,3.1,48.33,37.95,4.34,11.34,1.09,219.0,Poor,2015,3,15,Spring
Ahmedabad,2015-03-16,30.76,118.127106,2.72,14.14,16.98,23.483477,2.72,43.62,54.78,3.58,9.38,0.84,118.0,Moderate,2015,3,16,Spring
Ahmedabad,2015-03-17,50.29,118.127106,5.34,29.84,33.28,23.483477,5.34,59.23,45.44,5.45,15.12,1.65,231.0,Poor,2015,3,17,Spring
Ahmedabad,2015-03-18,57.69,118.127106,25.36,29.48,54.79,23.483477,25.36,58.33,52.87,9.55,32.11,4.53,286.0,Poor,2015,3,18,Spring
Ahmedabad,2015-04-02,77.69,118.127106,5.24,18.87,23.06,23.483477,5.24,100.48,27.14,9.49,11.77,1.6,222.0,Poor,2015,4,2,Spring
Ahmedabad,2015-04-03,53.07,118.127106,4.17,13.82,17.45,23.483477,4.17,40.36,21.76,4.47,6.94,0.42,169.0,Moderate,2015,4,3,Spring
Ahmedabad,2015-04-04,63.11,118.127106,5.63,15.5,18.49,23.483477,5.63,38.21,4.72,5.2,8.17,0.73,220.0,Poor,2015,4,4,Spring
Ahmedabad,2015-04-05,156.76,118.127106,3.92,16.7,20.97,23.483477,3.92,26.32,37.11,3.88,10.78,0.97,166.46358,Moderate,2015,4,5,Spring
Ahmedabad,2015-04-06,120.96,118.127106,4.23,20.86,25.02,23.483477,4.23,35.54,35.66,6.05,15.85,1.68,303.0,Very Poor,2015,4,6,Spring
Ahmedabad,2015-04-10,134.6,118.127106,5.9,26.27,28.7,23.483477,5.9,34.53,7.0,0.0,0.0,0.0,166.46358,Moderate,2015,4,10,Spring
Ahmedabad,2015-04-11,61.06,118.127106,3.52,14.03,17.59,23.483477,3.52,8.08,19.54,0.0,0.0,0.01,126.0,Moderate,2015,4,11,Spring
